PID,RID,Age,Program,REQuizPerformance,ExpProgAca,ExpProgInd,ExpSEAca,ExpSEInd,ExpREAca,ExpREInd,passive,actors.expected,actors.found,actors.missing,associations.expected,associations.found,associations.missing,entities.expected,entities.found,entities.missing
P7,R5,25-30,Master,8,more than 12 months,no experience,more than 12 months,more than 12 months,6 to 12 months,no experience,TRUE,0,0,0,2,1,1,3,2,1
P7,R6,25-30,Master,8,more than 12 months,no experience,more than 12 months,more than 12 months,6 to 12 months,no experience,TRUE,0,0,0,3,0,3,4,4,0
P7,R7,25-30,Master,8,more than 12 months,no experience,more than 12 months,more than 12 months,6 to 12 months,no experience,TRUE,1,0,1,2,0,2,3,3,0
P8,R1,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,1,1,0,2,1,1,3,3,0
P8,R2,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,1,1,0,2,1,1,3,3,0
P8,R3,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,2,2,0,2,0,2,2,2,0
P8,R4,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,0,0,0,1,0,1,2,2,0
P8,R5,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,0,0,0,2,1,1,3,2,1
P8,R6,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,0,0,0,3,2,1,4,4,0
P8,R7,31-40,Doctorate,8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,TRUE,1,0,1,2,1,1,3,3,0
P9,R1,25-30,Master,10,more than 12 months,more than 12 months,more than 12 months,more than 12 months,no experience,no experience,TRUE,1,1,0,2,2,0,3,3,0
P9,R2,25-30,Master,10,more than 12 months,more than 12 months,more than 12 months,more than 12 months,no experience,no experience,TRUE,1,1,0,2,2,0,3,3,0
P9,R3,25-30,Master,10,more than 12 months,more than 12 months,more than 12 months,more than 12 months,no experience,no experience,TRUE,2,2,0,2,0,2,2,2,0
P9,R4,25-30,Master,10,more than 12 months,more than 12 months,more than 12 months,more than 12 months,no experience,no experience,TRUE,0,0,0,1,0,1,2,2,0
